C:\mbw\results\A16_414.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Thu 19-Dec-2019  4:37
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_1	A01	4630	2.1	
 	Unk_2	A02	4214	2.2	
 	Unk_3	A03	240	8.9	
 	Unk_4	A04	236	9.0	
 	Unk_5	A05	249	8.8	
 	Unk_6	A06	533	5.8	
 	Unk_7	B01	990	4.3	
 	Unk_8	B02	926	4.4	
 	Unk_9	B03	911	4.5	
 	Unk_10	B04	950	4.4	
 	Unk_11	B05	974	4.3	
 	Unk_12	B06	986	4.3	
 	Unk_13	C01	963	4.3	
 	Unk_14	C02	960	4.4	
 	Unk_15	C03	862	4.6	
 	Unk_16	C04	936	4.4	
 	Unk_17	C05	800	4.8	
 	Unk_18	C06	794	4.8	
 	Unk_19	D01	720	5.0	
 	Unk_20	D02	707	5.1	
 	Unk_21	D03	583	5.6	
 	Unk_22	D04	1015	4.2	
 	Unk_23	D05	1071	4.1	
 	Unk_24	D06	996	4.3	
 	Unk_25	A01	1281	3.8	
 	Unk_26	A02	1372	3.6	
 	Unk_27	A03	1157	4.0	
 	Unk_28	A04	1280	3.8	
 	Unk_29	A05	1198	3.9	
 	Unk_30	A06	1348	3.7	
 	Unk_31	B01	1077	4.1	
 	Unk_32	B02	1099	4.1	
 	Unk_33	B03	1112	4.0	
 	Unk_34	B04	1036	4.2	
 	Unk_35	B05	1073	4.1	
 	Unk_36	B06	987	4.3	
 	Unk_37	C01	1114	4.0	
 	Unk_38	C02	1200	3.9	
 	Unk_39	C03	899	4.5	
 	Unk_40	C04	947	4.4	
 	Unk_41	C05	1038	4.2	
 	Unk_42	C06	1089	4.1	
 	Unk_43	D01	841	4.7	
 	Unk_44	D02	845	4.6	
 	Unk_45	D03	815	4.7	
 	Unk_46	D04	878	4.6	
 	Unk_47	D05	925	4.4	
 	Unk_48	D06	905	4.5	
 	Unk_49	A01	948	4.4	
 	Unk_50	A02	25	39.0	
 	Unk_51	A03	906	4.5	
 	Unk_52	A04	858	4.6	
 	Unk_53	A05	738	4.9	
 	Unk_54	A06	743	4.9	
 	Unk_55	B01	827	4.7	
 	Unk_56	B02	932	4.4	
 	Unk_57	B03	745	4.9	
 	Unk_58	B04	819	4.7	
 	Unk_59	B05	749	4.9	
 	Unk_60	B06	773	4.8	
 	Unk_61	C01	848	4.6	
 	Unk_62	C02	800	4.8	
 	Unk_63	C03	1424	3.6	
 	Unk_64	C04	1362	3.7	
 	Unk_65	C05	1362	3.7	
 	Unk_66	C06	1231	3.8	
 	Unk_67	D01	1230	3.8	
 	Unk_68	D02	1264	3.8	
 	Unk_69	D03	1236	3.8	
 	Unk_70	D04	1273	3.8	
 	Unk_71	D05	1239	3.8	
 	Unk_72	D06	1190	3.9	
 	Unk_73	A01	1148	4.0	
 	Unk_74	A02	1146	4.0	
 	Unk_75	A03	1161	3.9	
 	Unk_76	A04	1154	4.0	
 	Unk_77	A05	1046	4.2	
 	Unk_78	A06	1040	4.2	
 	Unk_79	B01	1156	4.0	
 	Unk_80	B02	1161	3.9	
 	Unk_81	B03	890	4.5	
 	Unk_82	B04	929	4.4	
 	Unk_83	B05	975	4.3	
 	Unk_84	B06	929	4.4	
 	Unk_85	C01	935	4.4	
 	Unk_86	C02	1029	4.2	
 	Unk_87	C03	953	4.4	
 	Unk_88	C04	971	4.3	
 	Unk_89	C05	1068	4.1	
 	Unk_90	C06	1219	3.9	
 	Unk_91	D01	1029	4.2	
 	Unk_92	D02	1159	4.0	
 	Unk_93	D03	1274	3.8	
 	Unk_94	D04	1238	3.8	
 	Unk_95	D05	1163	4.0	
 	Unk_96	D06	1221	3.9	
 	Unk_97	A01	916	4.4	
 	Unk_98	A02	1066	4.1	
 	Unk_99	A03	1012	4.2	
 	Unk_100	A04	1005	4.2	
 	Unk_101	A05	989	4.3	
 	Unk_102	A06	1065	4.1	
 	Unk_103	B01	1147	4.0	
